FRN,ProviderName,records,blocks
0001730969,Madison County Telephone Company,796,789
0001731280,Yelcot Telephone Company,822,822
0001731470,"Puerto Rico Telephone Company, Inc.",89095,48560
0001731710,Tri-County Telephone  Co. Inc.,342,342
0001731785,Southwest Arkansas Telephone Cooperative Inc,2111,2019
0001731850,Northern Arkansas Telephone Company Inc,1570,1450
0001732668,Prairie Grove Telephone Company,2335,1602
0001742170,"Franklin Telephone Co., Inc.",3872,3571
0001742501,"Bruce Telephone Company,Inc.",237,178
0001745603,The Utilities Board of the City of Sylacauga,2907,2857
0001752708,TV Cable Company of Andalusia Inc,843,843
0001753557,"Knology Total Communications, Inc.",415,415
0001753870,Pine Belt Telephone Co Inc,269,269
0001753938,Moundville Telephone Company,276,276
0001754209,"Pine Belt Cellular, Inc. dba/Pine Belt Wireless",6,6
0001754738,"Farmers Telecommunications Cooperative, Inc.",5544,2977
0001756089,"Millry Telephone Co., Inc.",1360,1269
0001762582,Columbia Power and Water System,685,685
0001762939,BRISTOL TENNESSEE ESSENTIAL SERVICES,3304,3304
0001768159,"Advantage Cellular Systems, Inc.",184,184
0001770783,Infostructure Inc,567,567
0001772888,Ardmore Telephone Company Inc,1875,1875
0001773225,"HIGHLAND TELEPHONE COOPERATIVE, INC.",3444,3444
0001773464,"Ben Lomand Rural Telephone Coop., Inc.",3656,3656
0001773670,Twin Lakes Telephone Cooperative Corporation,9056,3277
0001775295,Brindlee Mountain Telephone LLC,1605,867
0001778893,Glasgow Electric Plant Board,419,419
0001779420,HENDERSON MUNICIPAL POWER & LIGHT,1545,1014
0001779594,City of Williamstown,254,230
0001783414,Owensboro Municipal Utilities,866,866
0001783612,City of Russellville Electric Plant Board,1694,847
0001783653,Franklin Electric Plant Board,142,142
0001786706,Kentucky RSA #3 Cellular General Partnership,36053,28236
0001787480,"Big Sandy Broadband, Inc.",580,580
0001788207,Mobile Communications Service of Bowling Green Inc,1,1
0001789080,Inter-Mountain Cable Inc,1187,1187
0001791995,Coalfields Telephone Company,256,250
0001792563,Harlan Community Television Inc,960,960
0001792621,West Kentucky Rural Telephone Coop Corp Inc,4160,4160
0001792696,South Central Telephone Coop Inc,2646,2198
0001792787,Mountain Rural Telephone Cooperative Corporation,2206,2206
0001813369,Fort Pierce Utilities Authority,19,18
0001824325,"City of LaGrange, Georgia",207,207
0001824606,"GTC, Inc.",5413,4984
0001824804,Verizon Florida LLC,68505,60202
0001825124,"Cairo, City of",343,340
0001833193,Plant Telephone Company,669,658
0001834696,"Cox Communications, Inc",304719,304719
0001844554,MCNC,236,236
0001855287,Ringgold Telephone Company,700,494
0001855337,"Citizens Telephone Company, Inc.",557,489
0001856145,"Windstream Accucomm Telecommunications, LLC",365,365
0001856236,Public Service Telephone Company,4102,4102
0001856400,Darien Telephone Company Inc.,542,444
0001856426,Brantley Telephone Company Inc,946,946
0001856483,CHICKAMAUGA TELEPHONE CORPORATION,429,351
0001856566,Hart Telephone Company,1044,723
0001856673,"Pineland Telephone Cooperative, Inc.",4046,3825
0001857598,Wilkes Telephone & Electric Co.,1742,1742
0001858760,"ETC Communications, LLC",2334,2092
0001858760,Ellijay Telephone Co,713,661
0001884162,"SCANA Communications, Inc.",175,175
0001886464,"Sandhill Telephone Coop., Inc.",3015,3015
0001886704,"Hargray Telephone Co., Inc.",1691,1356
0001886860,Palmetto Rural Telephone Cooperative Inc,2314,2314
0001886944,"Horry Telephone Cooperative, Inc",14828,7900
0001886977,"West Carolina Rural Telephone Cooperative, Inc.",997,989
0001887025,"Farmers Telephone Cooperative, Inc.",10921,8673
0001887116,"Fairfield Communications, Inc.",1651,1639
0001887140,Piedmont Rural Telephone Cooperative Inc,712,712
0001887728,"Chesnee Telephone Company, Inc. d/b/a Chesnee Communications",652,440
0001888718,"Comporium, Inc.",7562,3086
0001889245,Lancaster Telephone Company,5724,2343
0001889617,Fort Mill Telephone Company,2824,1053
0001912138,Tri-County Telephone Membership Corp.,357,348
0001913979,Town of Pineville,109,104
0001951144,Atlantic Telephone Membership Corporation,8337,3229
0001951284,Randolph Telephone Membership Corp,1241,1241
0001952555,Skyline Telephone Membership Corporation,3019,1788
0001952605,Surry Telephone Membership Corporation,2634,1889
0001959758,"Windstream Lexcom Communications, Inc.",1154,1154
0001960962,Star Telephone Membership Corp,3223,2523
0001961416,CITIZENS TELEPHONE CO.,2439,1144
0001962588,Verizon South Inc.,15,15
0002008043,Hardy Telecommunications Inc,2619,1516
0002009405,West Side Telecommunications,217,214
0002031698,Buggs Island Telephone Cooperative,7999,7922
0002061653,Pembroke Telephone Cooperative,491,491
0002064145,Shenandoah Telecommunications Company,27226,21616
0002069862,Scott County Telephone Cooperative,1160,1031
0002071116,Peoples Mutual Telephone Co,971,971
0002071579,New Hope Telephone Cooperative,251,251
0002072668,Shenandoah Telephone Company,4987,2033
0002073203,Verizon Virginia LLC,118058,99888
0002109213,"Verizon Washington, DC Inc.",7260,5201
0002147098,Columbine Telecom Company,949,359
0002151371,Two-Way Radio Service Inc,15,15
0002154367,Antietam Cable Television,2784,2764
0002154706,"Smith Bagley, Inc.",245,245
0002166825,Verizon Maryland LLC,94710,77348
0002212314,Kingdom Telephone Company,6398,5924
0002285260,S&T TELEPHONE CO,1842,687
0002295400,Chanute City of,575,575
0002320430,"Nex-Tech, Inc.",17761,15390
0002323731,"KanOkla Communications, Inc.",29945,29945
0002324465,"Mobilcom Pittsburg, Inc.",4926,4926
0002327153,United Communications Association Inc,537,536
0002329662,"S&A Telephone Co., Inc.",328,259
0002330843,"Elkhart Telephone Co., Inc.",631,631
0002331262,"Blue Valley Tele-Communications, Inc.",2930,2930
0002332930,"Cunningham Telephone Co., Inc.",398,366
0002333649,Rainbow Telecommunications Association dba Rainbow Communications,1100,1100
0002333672,"Wheat State Telephone, Inc.",1502,1502
0002333839,"Golden Belt Telephone Association, Inc.",6740,5258
0002333888,"The Southern Kansas Telephone Company, Inc.",2692,2463
0002334225,Craw Kan Telephone Cooperative Inc,10342,7920
0002334407,Twin Valley Telephone Inc,6024,3012
0002334795,PIONEER TELEPHONE ASSOCIATION INC,10151,8566
0002335099,United Telephone Assn Inc,4001,3997
0002336105,Rural Telephone Service Co Inc dba Nex-Tech,11357,11357
0002336360,"Eagle Communications, Inc.",4446,4399
0002339976,Moundridge Telephone Co.,1278,639
0002377901,"Pinpoint Wireless, Inc.",718,718
0002387033,"Glenwood Network Services, Inc.",539,539
0002387264,Benkelman Telephone Company Inc,828,594
0002387868,COZAD TELEPHONE COMPANY,973,973
0002388262,Glenwood Telephone Membership Corporation,2083,2083
0002388361,Edgar Rental Corp/ERC Communications,1841,1841
0002388684,Three River Telco,1434,1434
0002388882,Northeast Nebraska Telephone Company,5391,5391
0002392249,Hooper Telephone Company,658,658
0002393379,Diller Telephone Co,13850,13662
0002393544,Cambridge Telephone Company,756,756
0002405215,"Faith, City of",99,65
0002426831,Cheyenne River Sioux Tribe Telephone Authority,480,480
0002429686,"Western Communications, Inc.",1475,1475
0002430163,West River Cooperative Telephone Company,585,585
0002430510,"Valley Telecommunications Cooperative Association, Inc",1580,1580
0002430536,"Midstate Communications, Inc.",2757,2697
0002430684,"Golden West Telecommunications Cooperative, Inc.",23594,20625
0002430841,"Sioux Valley Rural Television, Inc.",23518,23518
0002430916,"TrioTel Communications, Inc.",1664,1664
0002432672,"Alliance Communications  Coperative , Inc",2925,2925
0002475168,"Cable Services, inc.",1372,1372
0002476281,Consolidated Telcom,16452,9063
0002477503,UNITED TELEPHONE MUTUAL AID CORPORATION,4779,2784
0002477636,BEK Communications Cooperative,9504,9504
0002477651,West River Telecommunications Cooperative,12585,12585
0002477693,"Northwest Communications Cooperative, Inc.",9031,7102
0002477743,Reservation Telephone Cooperative,5014,3788
0002487908,Marshall Municipal Utilities,686,686
0002490472,Le-Ru Telephone Co.,253,242
0002504058,McDonald County Telephone Co,491,391
0002504298,Citizens Telephone Company of Higginsville Missouri,903,903
0002505519,Grand River Mutual Telephone Corp,12092,11427
0002531879,Mark Twain Communications Company,9217,9217
0002535532,Missouri RSA No. 5 Partnership,10780,10780
0002545929,St Joe Wireless,9933,9933
0002549228,Mark Twain Rural Telephone Co,2380,2380
0002549392,Chariton Valley Telephone Corporation,4422,4161
0002549665,Steelville Telephone Exchange Inc,1415,1193
0002550309,Fidelity Telephone Company,2465,2465
0002557627,East Buchanan Telephone Cooperative,399,399
0002561884,Spencer Municipal Utilities,852,426
0002564870,City of Hawarden,213,191
0002565059,Grundy Center Municipal Light & Power,260,130
0002566594,Coon Rapids Municipal Utilites,87,87
0002575777,"Panora Telecommunications, Inc.",290,145
0002576452,Northwest Iowa Telephone Co Inc,345,267
0002586998,Webb-Dickens Telephone Corporation,283,283
0002587491,"Andrew Telephone Company, Inc.",96,77
0002587863,South Slope Cooperative Telephone Company,1435,1397
0002587954,Heart of Iowa Communications Cooperative,3198,2476
0002588051,Modern Cooperative Telephone Company Inc.,972,324
0002588192,Cooperative Telephone Company,1560,390
0002588606,"Center Junction Telephone Company, Inc.",51,51
0002589281,"Baldwin Nashville Telephone Company, Inc.",133,133
0002589307,Webster-Calhoun Cooperative Telephone Association,2252,2252
0002589604,Lehigh Valley Cooperative Telephone Association,619,619
0002590032,Woolstock Mutual Telephone Association,4482,2241
0002590057,Winnebago Cooperative Telecom Association,3780,3513
0002590073,Western Iowa Telephone Association,2115,1466
0002590586,Onslow Cooperative Telephone Association,50,50
0002591063,Farmers Cooperative Telephone Company,2634,439
0002591154,Kalona Cooperative Telephone Co,160,160
0002592061,"Minerva Valley Telephone Co., Inc.",272,272
0002592285,"CML Telephone Cooperative, Association of Meriden, Iowa",586,586
0002592384,West Liberty Telephone Company,903,622
0002592392,West Iowa Telephone Co.,2095,1664
0002592426,Wellman Cooperative Telephone Association,920,460
0002592509,"Radcliffe Telephone Company, Inc.",142,142
0002592517,Corn Belt Telephone Company,318,305
0002592640,Van Buren Telephone Co Inc,497,497
0002592897,Sully Telephone Association Inc,154,154
0002592921,Stratford Mutual Telephone Company,169,169
0002593358,"Coon Valley Co-op Telephone Association, Inc.",1126,563
0002593440,Schaller Telephone Company,441,441
0002593481,Sac County Mutual Telephone Co.,207,207
0002593655,Readlyn Telephone Company,483,161
0002593986,Peoples Telephone Company,321,321
0002594067,Oran Mutual Telephone Company,94,94
0002594125,"Communications 1 Network, Inc.",640,627
0002594190,Mutual Telephone Company,413,413
0002594216,Mediapolis Telephone company,1005,335
0002594752,Marne & Elk Horn Telephone Company,1670,1497
0002594778,Ogden Telephone Company,354,345
0002594893,Northeast Iowa Telephone Co.,1052,434
0002594976,Lone Rock Cooperative Telephone Company,169,169
0002595106,LaPorte City Telephone Co,358,358
0002595452,Dumont Telephone Company,265,265
0002595734,Hawkeye Telephone Company,301,301
0002595858,Northern Iowa Telephone Company,1369,942
0002595874,Goldfield Telephone Co Inc,3462,1373
0002596195,Fenton Cooperative Telephone Company,104,104
0002596344,Farmers Mutual Telephone Cooperative,1193,1193
0002596377,Farmers Mutual Telephone Co,397,376
0002598076,Scranton Telephone Company,122,122
0002598209,Clear Lake Independent Telephone Company,976,881
0002598225,Jefferson Telephone Company,786,560
0002598407,Butler-Bremer Mutual Telephone Company,579,576
0002598464,Brooklyn Mutual Telecommunications Cooperative,648,324
0002604429,Moose Lake Village Of,22,22
0002621951,Midcontinent Communications,38789,27937
0002623635,"Hutchinson Telecommunications, Inc.",5441,3876
0002626984,"Ace Link Telecommunication, Inc.",118,118
0002638641,North Dakota Telephone Company,10994,10673
0002644284,Peoples Telephone Company,1152,804
0002644953,Paul Bunyan Rural Telephone Cooperative,7363,7066
0002645497,Benton Cooperative Telephone Company,2150,1496
0002645612,West Central Telephone Assoc.,1135,1135
0002645729,East Otter Tail Telephone Company,6771,4293
0002645778,Albany Mutual Telephone Association,746,746
0002645927,Ace Telephone Association,6748,5168
0002647287,Twin Valley-Ulen Telephone co,2401,1291
0002647857,Midwest Telpehone Co,868,642
0002648285,Scott Rice Telephone Co,572,570
0002650422,Park Region Mutual Telephone Company,1001,1001
0002650828,Loretel Systems Inc,4067,2307
0002652048,Hutchinson Telephone Company,2626,900
0002652519,Garden Valley Telephone Company,5293,5293
0002707875,Wittenberg Cable TV Co Inc,102,102
0002713626,Vernon Telephone Cooperative,1753,1753
0002713683,"Chequamegon Communications Cooperative, Inc.",3287,2898
0002713683,"Norvado, Inc.",1583,999
0002717031,Union Telephone Company,1076,1076
0002719045,Mount Horeb Telephone Co,541,497
0002719458,Clear Lake Telephone Co Inc,254,254
0002719474,Manawa Telephone Co Inc,450,450
0002720977,SOMERSET TELEPHONE COMPANY,268,261
0002721157,Lavalle Telephone Cooperative Inc,832,646
0002721629,Hillsboro Telephone Co Inc,108,108
0002722049,West Wisconsin Telcom Cooperative Inc,1621,1583
0002723336,Bloomer Telephone Co,655,463
0002723534,Baldwin Telecom Inc,1699,1017
0002723732,Amherst Telephone Company,1297,791
0002723773,Amery Telcom Inc,1013,934
0002733921,Coldwater Board of Public Utilities,632,316
0002756187,Ace Telephone Company of Michigan Inc,3083,2919
0002771228,Barry County Telephone Company,4769,4244
0002776599,Hiawatha Telephone Company,3741,3741
0002801256,Oregon-Idaho Utilities Inc,915,883
0002816411,Moultrie Independent Telephone Company,167,167
0002817500,McDonough Telephone Cooperative,2129,1677
0002817823,EGYPTIAN TELEPHONE COOPERATIVE ASSOCIATION,639,631
0002818177,"Mid Century Telephone Cooperative, Inc.",1824,1824
0002819191,"Odin Telephone Exchange, Inc",1580,790
0002860468,Jo-Carroll Energy Inc,899,899
0002871754,Richmond Power and light,1553,1148
0002884963,"Miles Communications, Inc.",9331,8557
0002898724,Southeastern Indiana Rural Telephone Coop Inc,644,602
0002898856,Pulaski White Rural Telephone Cooperative Inc,866,736
0002899060,NineStar Connect,866,866
0002901791,Sweetser Telephone Company Inc.,184,168
0002901817,Swayzee Telephone Co Inc,1145,770
0002901833,Sunman Telecommunications Corporation,1029,793
0002902955,"New Paris Telephone, Inc.",1953,1816
0002903045,Monon Telephone Company Inc.,1637,1176
0002921492,Village of Woodsfield,190,190
0002922201,Ottoville Mutual Telephone Company,378,378
0002924751,Telephone Service Company,468,455
0002924777,SYCAMORE TELEPHONE COMPANY,771,493
0002926582,The Champaign Telephone Company,1861,1861
0002930980,W A T C H TV,153785,153785
0002946879,ORWELL TELEPHONE COMPANY,3523,1213
0003007481,The Chillicothe Telephone Co,2935,2935
0003020146,Mobilcomm Inc.,4547,4547
0003193000,Pymatuning Independent Telephone Company,422,375
0003194776,Hickory Telephone Company,282,282
0003219227,"Blue Ridge Cable Technologies, Inc.",20207,20207
0003222213,Palmerton Telephone Co,1058,1058
0003269883,Wire Tele View Corp.,324,324
0003271798,Verizon Delaware LLC,18782,16087
0003271871,"Windstream D&E, Inc.",2306,2306
0003273505,Verizon Pennsylvania LLC,258382,217929
0003316692,Verizon New Jersey Inc.,163129,118692
0003412871,"Trumansburg  Telephone Company, Inc.",616,604
0003414224,Dunkirk and Fredonia Telephone Company,567,567
0003433323,Margaretville Telephone Co Inc,460,458
0003435633,"Newport Telephone Company, Inc.",577,577
0003436367,Hancock Telephone Company,260,260
0003469442,Verizon New York Inc.,245961,176280
0003474327,"Cable One, Inc.",89134,89134
0003475282,Mediacom Arizona LLC,2654,2654
0003475654,Mediacom California LLC,3878,3843
0003571619,Mediacom Illinois LLC,33060,33055
0003571635,Mediacom Iowa LLC,53406,53396
0003571650,Mediacom Wisconsin LLC,2927,2927
0003571676,Mediacom Minnesota LLC,16861,16855
0003571692,Mediacom Indiana LLC,8678,8673
0003572633,Mediacom Delaware LLC,2648,2633
0003576352,Frontier Communications Corporation,1416173,636941
0003596293,"Full Channel, Inc.",988,988
0003628971,Verizon New England Inc.,153913,121079
0003666708,"Granite State Telephone, Inc.",1452,923
0003707767,Hamilton Telephone Company,2316,2316
0003707775,Chester Telephone Company,1653,1645
0003708054,Shidler Telephone Company,826,826
0003708104,Lennon Telephone Company,615,508
0003708120,Northwestern Indiana Telephone Company,1038,1038
0003708203,Home Telephone Co.,207,174
0003708575,Windstream Montezuma LLC,343,273
0003709458,Salina Spavinaw Telephone Company Inc.,1862,1862
0003709888,James Valley Cooperative Telephone Company,6289,3144
0003710100,Glenwood Telephone Company,271,271
0003710597,Gridley Telephone Co.,624,208
0003713906,CRC Communications LLC,139,134
0003714805,Albion Telephone Company dba ATC Communications,3922,3561
0003715877,Henderson Cooperative Telephone Company,365,365
0003715877,"Tri-Rural TV, Inc.",653,653
0003715885,"Pembroke Telephone Company, Inc",768,768
0003715968,Murray Electric System,10,5
0003716073,"McLeodUSA Telecommunications Services, L.L.C.",39540,19214
0003716123,Clarks Telecommunications Co.,967,967
0003716164,"Wes-Tex Telecommunications, Ltd.",1772,1540
0003716255,"Cascade Utilities, Inc.",744,704
0003716263,Trans-Cascades Telephone Company,73,73
0003716503,"Delta Telephone Company, Inc.",1318,1271
0003717709,"PBT Telecom, Inc.",3195,3032
0003717725,"PBT Communications, Inc.",824,794
0003717949,Stelle Telephone Company,2,2
0003718426,WILKES TELEPHONE MEMBERSHIP CORP,1910,1907
0003719929,"Sierra Telephone Company, Inc.",825,825
0003720471,"EarthLink Business, LLC",36452,33749
0003720968,Geneseo Telephone Company,531,531
0003720984,Cambridge Telephone Company,226,226
0003720992,Cambridge Telcom Services Inc.,120,120
0003721008,Henry County Telephone Company,217,217
0003721396,US LEC LLC,25365,12677
0003721495,McNabb Telephone Company,65,65
0003722113,Farmers' Telephone Company,228,228
0003722121,"Central Scott Telephone Company, Inc.",2772,693
0003722188,CUMBERLAND TELEPHONE COMPANY,982,491
0003722410,"Northwest Communications, Inc.",2150,1968
0003722444,Wilson Telephone Co Inc,1655,1655
0003722485,Independent Networks,852,284
0003722758,Terril Telephone Cooperative,241,120
0003722790,Farmers Mutual Telephone Company,1740,915
0003722824,Farmers Telephone Company,612,612
0003722840,Minburn Telecommunications Inc.,274,257
0003722865,"OmniTel Communications, Inc",1366,990
0003722907,WTC Communications,482,176
0003722949,Ayrshire Farmers Mutual Telephone Company,218,218
0003722972,"ATC Cable Vision, Inc.",297,218
0003722998,Northwest Telephone Cooperative Association,276,276
0003723152,BROKEN BOW CABLE,668,668
0003723202,"FairPoint Vermont, Inc",3530,2778
0003723210,Sidney Telephone Company,98,67
0003723236,Sunflower Telephone Company,2521,1008
0003723467,C-R Telephone Company,596,298
0003723491,Bluestem Telephone Company,612,306
0003723509,"Big Sandy Telecom, Inc.",665,226
0003723517,Chouteau Telephone Company,513,513
0003723525,El Paso Telephone Company,690,345
0003723640,"Bay Springs Telephone Co., Inc.",2325,2325
0003723665,"National Telephone of Alabama, Inc.",957,599
0003723681,"Roanoke Telephone Co., Inc.",1249,660
0003723699,Leaf River Telephone Company,91,80
0003723707,"Crockett Telephone Co., Inc.",760,559
0003723715,Peoples Telephone Company,1404,897
0003723723,"West Tennessee Telephone Co., Inc.",918,742
0003723731,"L R Communications, Inc.",462,462
0003723756,Panora Communications Cooperative,848,279
0003723780,"TEC of Jackson, Inc",15021,11126
0003723822,"Level  3 Communications, LLC",29893,28806
0003724655,Wyoming Mutual Telephone Company,191,190
0003724705,templeton telephone co,142,142
0003726270,"Great Lakes Comnet, Inc",49,49
0003726288,"The Farmers Mutual Telephone Company of Stanton, Iowa",754,377
0003726759,"F&B Communications, Inc.",665,465
0003726890,Montrose Mutual Telephone Co.,296,296
0003727146,Ringsted Telephone Company,568,284
0003727575,Rothsay Telephone Company Inc.,137,137
0003728284,"JED Enterprises, Inc",182,181
0003728680,RC Technologies Corporation,8138,7259
0003729142,"Ben Lomand Communications, LLC",3656,3656
0003729316,"Triangle Telephone Cooperative Association, Inc.",9589,8024
0003729324,"Central Montana Communications, Inc.",4031,3921
0003729340,Cincinnati Bell Any Distance Inc.,12,12
0003730702,North English Cooperative Telephone Company,129,128
0003730728,"Century Enterprises, Inc.",1,1
0003730835,BPS Telephone Company,9997,9997
0003730850,"Craigville Telephone Company, Inc.",397,369
0003730900,"Starcom, Inc.",1851,1846
0003730959,River Valley Telephone Coop,4316,1079
0003731114,Elizabeth Telephone Company,1245,1245
0003731759,Colo Telephone Company,252,243
0003731791,Granby Telephone LLC,77,77
0003731882,"Springboard Telecom, LLC",22,22
0003731940,"Union Springs Telephone Co.,Inc.",941,894
0003732302,"Arkansas Telephone Co., Inc.",976,965
0003732484,Pend Oreille Telephone Company,102,102
0003732609,Chickasaw Telephone Company,2241,2241
