FRN,ProviderName,StateAbbr,TechCode,records,blocks
0001637222,Triangle Communication Systems Inc,MT,70,673,673
0001643006,Ronan Telephone Co,MT,10,2,2
0001643006,Ronan Telephone Co,MT,12,2,2
0001643006,Ronan Telephone Co,MT,30,2,2
0001643006,Ronan Telephone Co,MT,41,2,2
0001643006,Ronan Telephone Co,MT,70,6,6
0001644798,Wes Tex Telephone Cooperative Inc,TX,10,3195,3195
0001644798,Wes Tex Telephone Cooperative Inc,TX,50,216,216
0001646140,Range Telephone Cooperative Inc,MT,10,2351,2351
0001646140,Range Telephone Cooperative Inc,MT,11,1057,1057
0001646140,Range Telephone Cooperative Inc,MT,50,184,184
0001646140,Range Telephone Cooperative Inc,WY,10,580,580
0001646140,Range Telephone Cooperative Inc,WY,11,883,883
0001646140,Range Telephone Cooperative Inc,WY,12,70,70
0001646165,"Blackfoot Telephone Cooperative, Inc.",ID,11,1,1
0001646165,"Blackfoot Telephone Cooperative, Inc.",MT,11,2128,2128
0001646165,"Blackfoot Telephone Cooperative, Inc.",MT,30,15,15
0001646165,"Blackfoot Telephone Cooperative, Inc.",MT,50,8,8
0001646454,"3 Rivers Telephone Cooperative, Inc. d/b/a 3 Rivers Communications",MT,10,3644,3644
0001646454,"3 Rivers Telephone Cooperative, Inc. d/b/a 3 Rivers Communications",MT,50,1856,1856
0001646470,NEMONT TELEPHONE COOPERATIVE INC,MT,11,4576,4576
0001646470,NEMONT TELEPHONE COOPERATIVE INC,MT,12,2250,2250
0001646470,NEMONT TELEPHONE COOPERATIVE INC,MT,50,3181,3181
0001646470,NEMONT TELEPHONE COOPERATIVE INC,MT,70,5070,5070
0001646470,NEMONT TELEPHONE COOPERATIVE INC,ND,11,1809,1809
0001646470,NEMONT TELEPHONE COOPERATIVE INC,ND,12,951,951
0001646470,NEMONT TELEPHONE COOPERATIVE INC,ND,50,1535,1535
0001646470,NEMONT TELEPHONE COOPERATIVE INC,ND,70,2390,2390
0001646470,NEMONT TELEPHONE COOPERATIVE INC,WY,11,183,183
0001646470,NEMONT TELEPHONE COOPERATIVE INC,WY,12,42,42
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",MT,10,8107,8107
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",MT,11,461,461
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",MT,20,9209,9209
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",MT,41,2457,2457
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",MT,42,2456,2456
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",MT,50,1544,1544
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",MT,70,538,538
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",ND,10,10,10
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",ND,41,10,10
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",ND,42,10,10
0001647734,"Lincoln Telephone Company , Inc.",MT,10,203,203
0001647734,"Lincoln Telephone Company , Inc.",MT,11,243,243
0001647734,"Lincoln Telephone Company , Inc.",MT,50,45,45
0001648039,Southern Montana Telephone Company,MT,11,317,317
0001648039,Southern Montana Telephone Company,MT,50,1360,1360
0001649847,TABLE TOP TELEPHONE COMPANY,AZ,10,631,631
0001649847,TABLE TOP TELEPHONE COMPANY,AZ,50,21,21
0001649847,TABLE TOP TELEPHONE COMPANY,AZ,70,8,8
0001650233,"XIT Telecommunication & Technology, Ltd.",TX,12,532,532
0001650233,"XIT Telecommunication & Technology, Ltd.",TX,40,32,32
0001650233,"XIT Telecommunication & Technology, Ltd.",TX,50,48,48
0001650233,"XIT Telecommunication & Technology, Ltd.",TX,70,4,4
0001655125,"W.T. Services, Inc.",TX,10,442,442
0001655125,"W.T. Services, Inc.",TX,41,36,36
0001655125,"W.T. Services, Inc.",TX,50,592,592
0001664481,"Dell Telephone Cooperative, Inc.",NM,11,331,331
0001664481,"Dell Telephone Cooperative, Inc.",NM,50,16,16
0001664481,"Dell Telephone Cooperative, Inc.",NM,70,234,234
0001664481,"Dell Telephone Cooperative, Inc.",TX,11,454,454
0001664481,"Dell Telephone Cooperative, Inc.",TX,50,106,106
0001664481,"Dell Telephone Cooperative, Inc.",TX,70,249,249
0001665835,"ETEX Communications, LP",TX,11,24,24
0001665835,"ETEX Communications, LP",TX,50,272,272
0001665835,"ETEX Communications, LP",TX,70,228,228
0001667765,"WESTERN NEW MEXICO TELEPHONE COMPANY, INC.",NM,10,1281,1281
0001667765,"WESTERN NEW MEXICO TELEPHONE COMPANY, INC.",NM,20,1281,1281
0001676519,"Cap Rock Telephone Cooperative, Inc.",TX,11,480,480
0001676519,"Cap Rock Telephone Cooperative, Inc.",TX,12,43,43
0001676519,"Cap Rock Telephone Cooperative, Inc.",TX,50,417,417
0001677335,"Border to Border Communications, Inc.",TX,50,673,673
0001677335,"Border to Border Communications, Inc.",TX,70,1141,1141
0001677392,Texas Electronic Transport Co,TX,70,2,2
0001678044,"Coleman County Telephone Coop, Inc",TX,10,1267,1267
0001678044,"Coleman County Telephone Coop, Inc",TX,50,243,243
0001678044,"Coleman County Telephone Coop, Inc",TX,70,1410,1410
0001678788,"PEOPLES TELEPHONE COOPERATIVE, INC.",TX,10,2287,2287
0001678788,"PEOPLES TELEPHONE COOPERATIVE, INC.",TX,50,9672,9672
0001678788,"PEOPLES TELEPHONE COOPERATIVE, INC.",TX,70,6896,6896
0001678804,"XIT Rural Telephone Cooperative, Inc.",TX,11,36,36
0001678804,"XIT Rural Telephone Cooperative, Inc.",TX,50,1644,1644
0001680263,GTE Southwest Incorporated dba Verizon Southwest,TX,10,27413,27413
0001680263,GTE Southwest Incorporated dba Verizon Southwest,TX,50,16590,16590
0001683630,Industry Telephone Company,TX,11,813,813
0001684166,"Big Bend Telephone Company, Inc.",TX,11,3700,3700
0001684166,"Big Bend Telephone Company, Inc.",TX,50,537,537
0001684166,"Big Bend Telephone Company, Inc.",TX,60,7966,7966
0001684166,"Big Bend Telephone Company, Inc.",TX,70,11183,11183
0001685718,"Valley Telephone Cooperative, Inc.",TX,10,465,465
0001685718,"Valley Telephone Cooperative, Inc.",TX,11,2266,2266
0001685718,"Valley Telephone Cooperative, Inc.",TX,12,589,589
0001685718,"Valley Telephone Cooperative, Inc.",TX,50,1535,1535
0001685841,Hill Country Telecommunications,TX,50,262,262
0001685841,"Hill Country Telephone Cooperative, Inc.",TX,10,1835,1835
0001685841,"Hill Country Telephone Cooperative, Inc.",TX,50,104,104
0001687326,Wharton County Electric Cooperative Inc,TX,70,2339,2339
0001687557,Southwest Texas Telephone Company,TX,10,1468,1468
0001687557,Southwest Texas Telephone Company,TX,12,36,36
0001687557,Southwest Texas Telephone Company,TX,50,697,697
0001687813,"Windstream Communications Kerrville, LLC",TX,10,932,932
0001698752,Canadian Valley Telephone Company,OK,10,264,264
0001698752,Canadian Valley Telephone Company,OK,12,159,159
0001699412,Oklahoma Western Telephone Company,OK,10,1399,1399
0001699578,"OKLATEL COMMUNICATIONS, INC.",OK,11,1373,1373
0001699776,Pine Telephone Company,OK,10,2678,2678
0001699776,Pine Telephone Company,OK,50,398,398
0001699776,Pine Telephone Company,OK,70,3025,3025
0001700186,Carnegie Telephone Company,OK,10,676,676
0001700418,Panhandle Telephone Cooperative Inc,NM,50,75,75
0001700418,Panhandle Telephone Cooperative Inc,NM,70,75,75
0001700418,Panhandle Telephone Cooperative Inc,OK,10,2080,2080
0001700418,Panhandle Telephone Cooperative Inc,OK,40,1956,1956
0001700418,Panhandle Telephone Cooperative Inc,OK,50,1188,1188
0001700418,Panhandle Telephone Cooperative Inc,OK,70,9415,9415
0001700418,Panhandle Telephone Cooperative Inc,TX,50,491,491
0001700418,Panhandle Telephone Cooperative Inc,TX,70,491,491
0001700459,Grand Telephone Company,OK,10,748,748
0001700459,Grand Telephone Company,OK,50,132,132
0001700616,Cross Telephone Company,OK,10,1292,1292
0001700616,Cross Telephone Company,OK,50,9,9
0001700632,McLoud Telephone Co,OK,10,696,696
0001700855,BIXBY TELEPHONE CO.,OK,10,524,524
0001700855,BIXBY TELEPHONE CO.,OK,20,2,2
0001700855,BIXBY TELEPHONE CO.,OK,50,332,332
0001700863,"Pioneer Telephone Cooperative, Inc.",OK,10,14633,14633
0001700863,"Pioneer Telephone Cooperative, Inc.",OK,12,10072,10072
0001700863,"Pioneer Telephone Cooperative, Inc.",OK,50,864,864
0001700863,"Pioneer Telephone Cooperative, Inc.",OK,70,23682,23682
0001700905,"Central Oklahoma Telephone Co., LLC",OK,10,941,941
0001700905,"Central Oklahoma Telephone Co., LLC",OK,20,1,1
0001700905,"Central Oklahoma Telephone Co., LLC",OK,50,104,104
0001700947,Beggs Telephone Co Inc,OK,10,507,507
0001701275,Cimarron Telephone Company,OK,10,818,818
0001701275,Cimarron Telephone Company,OK,50,553,553
0001704246,Panhandle Telecommunication Systems Inc,TX,10,821,821
0001704246,Panhandle Telecommunication Systems Inc,TX,42,332,332
0001704246,Panhandle Telecommunication Systems Inc,TX,50,1,1
0001704246,Panhandle Telecommunication Systems Inc,TX,70,3975,3975
0001714146,Kaplan Telephone Co Inc,GA,10,1,1
0001714146,Kaplan Telephone Co Inc,GA,50,1,1
0001714146,Kaplan Telephone Co Inc,GA,70,1,1
0001714146,Kaplan Telephone Co Inc,LA,10,1599,1599
0001714146,Kaplan Telephone Co Inc,LA,50,1599,1599
0001714146,Kaplan Telephone Co Inc,LA,70,1599,1599
0001714146,Kaplan Telephone Co Inc,VA,10,1,1
0001714146,Kaplan Telephone Co Inc,VA,50,1,1
0001714146,Kaplan Telephone Co Inc,VA,70,1,1
0001714567,"Northeast Louisiana Telephone Co., Inc.",LA,50,169,169
0001714781,"Lafourche Telephone Company, LLC",LA,10,1451,1451
0001714781,"Lafourche Telephone Company, LLC",LA,41,2402,2402
0001714781,"Lafourche Telephone Company, LLC",LA,50,1449,1449
0001715937,"Cameron Telephone Company, LLC",LA,10,762,762
0001715937,"Cameron Telephone Company, LLC",LA,50,106,106
0001715937,"Cameron Telephone Company, LLC",TX,10,337,337
0001717743,Conway Corporation,AR,42,1429,1429
0001717743,Conway Corporation,AR,50,1429,1429
0001726256,"Choice Communications, LLC",VI,70,4680,4680
0001730126,Walnut Hill Telephone Company,AR,11,1740,1740
0001730126,Walnut Hill Telephone Company,AR,12,154,154
0001730126,Walnut Hill Telephone Company,AR,20,25,25
0001730126,Walnut Hill Telephone Company,AR,50,5,5
0001730142,South Arkansas Telephone Co.,AR,10,1333,1333
0001730944,Mountain View Telephone Company,AR,10,1154,1154
0001730944,Mountain View Telephone Company,AR,50,11,11
0001730969,Madison County Telephone Company,AR,11,672,672
0001730969,Madison County Telephone Company,AR,50,124,124
